level_name,num_triplets,complete_accuracy,partial_accuracy,roc_auc,mean_same_scene_similarity,mean_diff_scene_similarity_a_n,mean_diff_scene_similarity_p_n,mean_delta_ap_an,mean_delta_ap_pn,avg_same_diff_delta,t_statistic_ap_an,p_value_ap_an,cohens_d_ap_an,t_statistic_ap_pn,p_value_ap_pn,cohens_d_ap_pn,model,layer_depth
features,300,0.5333333333333333,0.6566666666666666,0.647861111111111,0.9656543803215026,0.956841051975886,0.9548796586195628,0.008813328345616659,0.010774721701939901,0.00979402502377828,5.5468386269880146,6.405317007283196e-08,0.3207819591518668,6.985789841757786,1.8432930841945534e-11,0.40399865619186587,ViT-SO400M-16-SigLIP2-256_webli,0
features,300,0.52,0.6733333333333333,0.6464388888888889,0.9663675143321355,0.9563370823860169,0.9563101504246394,0.010030431946118672,0.010057363907496135,0.010043897926807403,6.551258969303485,2.489817611846195e-10,0.3788690870815338,6.814490088963287,5.215523499819207e-11,0.3940921356741143,ViT-SO400M-16-SigLIP2-384_webli,0
features,300,0.63,0.7533333333333333,0.7401777777777778,0.9792864120006561,0.9675299016634623,0.9676493195692698,0.011756510337193807,0.011637092431386312,0.01169680138429006,11.966543209525598,3.153047920861324e-27,0.6920430581350986,11.669465304249885,3.509800448800593e-26,0.674862599437279,ViT-SO400M-16-SigLIP2-512_webli,0
features,300,0.5833333333333334,0.7333333333333333,0.698111111111111,0.9614969178040822,0.9457810644308726,0.9462548458576202,0.015715853373209635,0.015242071946461995,0.015478962659835815,10.023278024550558,1.415372738458936e-20,0.5796611327466534,9.853341428602247,5.1009179001235054e-20,0.56983344566187,ViTamin-B-LTT_datacomp1b,0
features,300,0.63,0.75,0.7051166666666666,0.9707336207230886,0.9583958361546199,0.9576824055115382,0.01233778456846873,0.013051215211550395,0.012694499890009562,9.981131131495422,1.9471028073393098e-20,0.5772237144251464,10.763550481576527,4.726948063587143e-23,0.6224721934779572,ViTamin-B_datacomp1b,0
features,300,0.6933333333333334,0.7966666666666666,0.7782916666666666,0.987430114944776,0.9781561545530955,0.9780391061306,0.0092739603916804,0.009391008814175924,0.00933248460292816,11.320287934525236,5.795688688552189e-25,0.6546691500478684,11.545188839702837,9.556383317047928e-26,0.6676755050900206,ViTamin-L-256_datacomp1b,0
features,300,0.7233333333333334,0.8233333333333334,0.794088888888889,0.9896517133712769,0.9808415236075719,0.9808314069112142,0.008810189763704936,0.008820306460062663,0.008815248111883799,11.826888764771827,9.814142066457648e-27,0.6839666318272527,11.890163181913715,5.8705160800792935e-27,0.6876258858009016,ViTamin-L-336_datacomp1b,0
features,300,0.7333333333333333,0.8333333333333334,0.7994999999999999,0.9900635049740474,0.9809182242552439,0.9808942206700643,0.009145280718803406,0.009169284303983052,0.009157282511393229,12.070810856785293,1.3467338229388004e-27,0.698073010613418,12.38118211642915,1.0553474404536008e-28,0.7160222437410736,ViTamin-L-384_datacomp1b,0
features,300,0.6966666666666667,0.7833333333333333,0.7656333333333334,0.9851264717181524,0.9757898803551992,0.9752323478460312,0.009336591362953187,0.009894123872121175,0.00961535761753718,9.95029361505859,2.457876673837195e-20,0.575440333957072,11.053087483307145,4.8458137061127685e-24,0.6392165494628655,ViTamin-L2-256_datacomp1b,0
features,300,0.6933333333333334,0.7866666666666666,0.77295,0.9875217956304551,0.9784904847542445,0.9782537806034088,0.00903131087621053,0.009268015027046203,0.009149662951628367,10.795822124630456,3.671700401595277e-23,0.6243385094364496,11.795132328492201,1.2697098503691564e-26,0.6821301099879683,ViTamin-L2-336_datacomp1b,0
